frame_index,timestamp_ms,target_x,target_y,target_pan_deg,target_tilt_deg
62,2066.67,228.647,127.417,-0.5710,0.7036
63,2100.00,223.070,129.509,-0.6058,0.6906
64,2133.33,217.600,131.724,-0.6400,0.6767
65,2166.67,212.244,134.059,-0.6735,0.6621
66,2200.00,207.008,136.512,-0.7062,0.6468
67,2233.33,201.897,139.080,-0.7381,0.6307
68,2266.67,196.918,141.761,-0.7693,0.6140
69,2300.00,192.075,144.550,-0.7995,0.5966
70,2333.33,187.374,147.445,-0.8289,0.5785
71,2366.67,182.821,150.443,-0.8574,0.5597
72,2400.00,178.420,153.541,-0.8849,0.5404
73,2433.33,174.177,156.734,-0.9114,0.5204
74,2466.67,170.095,160.021,-0.9369,0.4999
75,2500.00,166.180,163.396,-0.9614,0.4788
76,2533.33,162.436,166.856,-0.9848,0.4572
77,2566.67,158.867,170.397,-1.0071,0.4350
78,2600.00,155.477,174.016,-1.0283,0.4124
79,2633.33,152.270,177.708,-1.0483,0.3893
80,2666.67,149.249,181.469,-1.0672,0.3658
81,2700.00,146.418,185.295,-1.0849,0.3419
82,2733.33,143.780,189.182,-1.1014,0.3176
83,2766.67,141.337,193.126,-1.1166,0.2930
84,2800.00,139.093,197.122,-1.1307,0.2680
85,2833.33,137.050,201.165,-1.1434,0.2427
86,2866.67,135.211,205.251,-1.1549,0.2172
87,2900.00,133.576,209.376,-1.1651,0.1914
88,2933.33,132.149,213.535,-1.1741,0.1654
89,2966.67,130.930,217.723,-1.1817,0.1392
90,3000.00,129.921,221.937,-1.1880,0.1129
91,3033.33,129.124,226.170,-1.1930,0.0864
92,3066.67,128.539,230.418,-1.1966,0.0599
93,3100.00,128.166,234.678,-1.1990,0.0333
94,3133.33,128.007,238.943,-1.2000,0.0066
95,3166.67,128.060,243.209,-1.1996,-0.0201
96,3200.00,128.327,247.472,-1.1980,-0.0467
97,3233.33,128.807,251.726,-1.1950,-0.0733
98,3266.67,129.500,255.968,-1.1906,-0.0998
99,3300.00,130.404,260.191,-1.1850,-0.1262
100,3333.33,131.519,264.393,-1.1780,-0.1525
101,3366.67,132.843,268.567,-1.1697,-0.1785
102,3400.00,134.375,272.709,-1.1602,-0.2044
103,3433.33,136.113,276.815,-1.1493,-0.2301
104,3466.67,138.056,280.881,-1.1372,-0.2555
105,3500.00,140.200,284.900,-1.1237,-0.2806
106,3533.33,142.545,288.870,-1.1091,-0.3054
107,3566.67,145.086,292.786,-1.0932,-0.3299
108,3600.00,147.822,296.643,-1.0761,-0.3540
109,3633.33,150.750,300.437,-1.0578,-0.3777
110,3666.67,153.865,304.163,-1.0383,-0.4010
111,3700.00,157.165,307.819,-1.0177,-0.4239
112,3733.33,160.646,311.399,-0.9960,-0.4462
113,3766.67,164.303,314.900,-0.9731,-0.4681
114,3800.00,168.134,318.318,-0.9492,-0.4895
115,3833.33,172.134,321.648,-0.9242,-0.5103
116,3866.67,176.298,324.888,-0.8981,-0.5306
117,3900.00,180.621,328.034,-0.8711,-0.5502
118,3933.33,185.099,331.082,-0.8431,-0.5693
119,3966.67,189.728,334.029,-0.8142,-0.5877
120,4000.00,194.500,336.871,-0.7844,-0.6054
121,4033.33,199.413,339.605,-0.7537,-0.6225
122,4066.67,204.459,342.229,-0.7221,-0.6389
123,4100.00,209.634,344.739,-0.6898,-0.6546
124,4133.33,214.931,347.133,-0.6567,-0.6696
125,4166.67,220.345,349.408,-0.6228,-0.6838
126,4200.00,225.870,351.562,-0.5883,-0.6973
127,4233.33,231.499,353.591,-0.5531,-0.7099
128,4266.67,237.227,355.494,-0.5173,-0.7218
129,4300.00,243.047,357.269,-0.4810,-0.7329
130,4333.33,248.952,358.914,-0.4441,-0.7432
131,4366.67,254.936,360.426,-0.4067,-0.7527
132,4400.00,260.992,361.805,-0.3688,-0.7613
133,4433.33,267.114,363.048,-0.3305,-0.7691
134,4466.67,273.295,364.155,-0.2919,-0.7760
135,4500.00,279.527,365.124,-0.2530,-0.7820
136,4533.33,285.805,365.954,-0.2137,-0.7872
137,4566.67,292.120,366.643,-0.1742,-0.7915
138,4600.00,298.467,367.192,-0.1346,-0.7950
139,4633.33,304.837,367.600,-0.0948,-0.7975
140,4666.67,311.224,367.866,-0.0548,-0.7992
141,4700.00,317.621,367.990,-0.0149,-0.7999
142,4733.33,324.021,367.972,0.0251,-0.7998
143,4766.67,330.416,367.811,0.0651,-0.7988
144,4800.00,336.800,367.509,0.1050,-0.7969
145,4833.33,343.165,367.065,0.1448,-0.7942
146,4866.67,349.504,366.480,0.1844,-0.7905
147,4900.00,355.810,365.754,0.2238,-0.7860
148,4933.33,362.077,364.888,0.2630,-0.7806
149,4966.67,368.297,363.884,0.3019,-0.7743
150,5000.00,374.463,362.742,0.3404,-0.7671
151,5033.33,380.569,361.464,0.3786,-0.7592
152,5066.67,386.607,360.051,0.4163,-0.7503
153,5100.00,392.572,358.504,0.4536,-0.7407
154,5133.33,398.456,356.826,0.4903,-0.7302
155,5166.67,404.252,355.018,0.5266,-0.7189
156,5200.00,409.955,353.082,0.5622,-0.7068
157,5233.33,415.558,351.021,0.5972,-0.6939
158,5266.67,421.055,348.836,0.6316,-0.6802
159,5300.00,426.440,346.530,0.6652,-0.6658
160,5333.33,431.706,344.106,0.6982,-0.6507
161,5366.67,436.849,341.566,0.7303,-0.6348
162,5400.00,441.861,338.914,0.7616,-0.6182
163,5433.33,446.738,336.151,0.7921,-0.6009
164,5466.67,451.474,333.282,0.8217,-0.5830
165,5500.00,456.065,330.309,0.8504,-0.5644
166,5533.33,460.504,327.236,0.8781,-0.5452
167,5566.67,464.787,324.066,0.9049,-0.5254
168,5600.00,468.909,320.802,0.9307,-0.5050
169,5633.33,472.865,317.449,0.9554,-0.4841
170,5666.67,476.652,314.009,0.9791,-0.4626
171,5700.00,480.265,310.488,1.0017,-0.4405
172,5733.33,483.700,306.888,1.0231,-0.4180
173,5766.67,486.952,303.214,1.0435,-0.3951
174,5800.00,490.020,299.469,1.0626,-0.3717
175,5833.33,492.898,295.659,1.0806,-0.3479
176,5866.67,495.585,291.786,1.0974,-0.3237
177,5900.00,498.076,287.856,1.1130,-0.2991
178,5933.33,500.369,283.873,1.1273,-0.2742
179,5966.67,502.462,279.841,1.1404,-0.2490
180,6000.00,504.353,275.765,1.1522,-0.2235
181,6033.33,506.038,271.649,1.1627,-0.1978
182,6066.67,507.517,267.498,1.1720,-0.1719
183,6100.00,508.788,263.317,1.1799,-0.1457
184,6133.33,509.848,259.109,1.1866,-0.1194
185,6166.67,510.698,254.881,1.1919,-0.0930
186,6200.00,511.336,250.635,1.1959,-0.0665
187,6233.33,511.761,246.378,1.1985,-0.0399
188,6266.67,511.974,242.114,1.1998,-0.0132
189,6300.00,511.973,237.848,1.1998,0.0135
190,6333.33,511.759,233.584,1.1985,0.0401
191,6366.67,511.331,229.327,1.1958,0.0667
192,6400.00,510.692,225.082,1.1918,0.0932
193,6433.33,509.840,220.853,1.1865,0.1197
194,6466.67,508.777,216.646,1.1799,0.1460
195,6500.00,507.505,212.465,1.1719,0.1721
196,6533.33,506.024,208.314,1.1627,0.1980
197,6566.67,504.337,204.198,1.1521,0.2238
198,6600.00,502.445,200.123,1.1403,0.2492
199,6633.33,500.350,196.091,1.1272,0.2744
200,6666.67,498.055,192.109,1.1128,0.2993
201,6700.00,495.562,188.179,1.0973,0.3239
202,6733.33,492.873,184.307,1.0805,0.3481
203,6766.67,489.993,180.497,1.0625,0.3719
204,6800.00,486.924,176.753,1.0433,0.3953
205,6833.33,483.670,173.080,1.0229,0.4183
206,6866.67,480.234,169.481,1.0015,0.4407
207,6900.00,476.619,165.960,0.9789,0.4628
208,6933.33,472.831,162.521,0.9552,0.4842
209,6966.67,468.873,159.168,0.9305,0.5052
210,7000.00,464.749,155.906,0.9047,0.5256
211,7033.33,460.465,152.736,0.8779,0.5454
212,7066.67,456.024,149.664,0.8502,0.5646
213,7100.00,451.433,146.692,0.8215,0.5832
214,7133.33,446.695,143.824,0.7918,0.6011
215,7166.67,441.817,141.062,0.7614,0.6184
216,7200.00,436.803,138.411,0.7300,0.6349
217,7233.33,431.660,135.872,0.6979,0.6508
218,7266.67,426.393,133.449,0.6650,0.6659
219,7300.00,421.007,131.144,0.6313,0.6803
220,7333.33,415.509,128.960,0.5969,0.6940
221,7366.67,409.905,126.900,0.5619,0.7069
222,7400.00,404.201,124.965,0.5263,0.7190
223,7433.33,398.404,123.158,0.4900,0.7303
224,7466.67,392.519,121.481,0.4532,0.7407
225,7500.00,386.554,119.936,0.4160,0.7504
226,7533.33,380.515,118.524,0.3782,0.7592
227,7566.67,374.409,117.247,0.3401,0.7672
228,7600.00,368.242,116.106,0.3015,0.7743
229,7633.33,362.022,115.103,0.2626,0.7806
230,7666.67,355.755,114.239,0.2235,0.7860
231,7700.00,349.448,113.514,0.1840,0.7905
232,7733.33,343.108,112.930,0.1444,0.7942
233,7766.67,336.743,112.488,0.1046,0.7970
234,7800.00,330.359,112.186,0.0647,0.7988
235,7833.33,323.964,112.027,0.0248,0.7998
236,7866.67,317.565,112.010,-0.0152,0.7999
237,7900.00,311.168,112.136,-0.0552,0.7992
238,7933.33,304.780,112.403,-0.0951,0.7975
239,7966.67,298.410,112.812,-0.1349,0.7949
240,8000.00,292.064,113.362,-0.1746,0.7915
241,8033.33,285.749,114.053,-0.2141,0.7872
242,8066.67,279.472,114.884,-0.2533,0.7820
243,8100.00,273.240,115.854,-0.2923,0.7759
244,8133.33,267.059,116.962,-0.3309,0.7690
245,8166.67,260.938,118.207,-0.3691,0.7612
246,8200.00,254.882,119.586,-0.4070,0.7526
247,8233.33,248.899,121.100,-0.4444,0.7431
248,8266.67,242.994,122.746,-0.4813,0.7328
249,8300.00,237.176,124.522,-0.5177,0.7217
250,8333.33,231.449,126.426,-0.5534,0.7098
251,8366.67,225.820,128.457,-0.5886,0.6971
252,8400.00,220.297,130.611,-0.6231,0.6837
253,8433.33,214.884,132.887,-0.6570,0.6695
254,8466.67,209.587,135.282,-0.6901,0.6545
255,8500.00,204.414,137.794,-0.7224,0.6388
256,8533.33,199.369,140.419,-0.7539,0.6224
257,8566.67,194.457,143.154,-0.7846,0.6053
258,8600.00,189.686,145.997,-0.8145,0.5875
259,8633.33,185.059,148.945,-0.8434,0.5691
260,8666.67,180.582,151.993,-0.8714,0.5500
261,8700.00,176.260,155.140,-0.8984,0.5304
262,8733.33,172.097,158.381,-0.9244,0.5101
263,8766.67,168.099,161.712,-0.9494,0.4893
264,8800.00,164.270,165.131,-0.9733,0.4679
265,8833.33,160.614,168.632,-0.9962,0.4460
266,8866.67,157.135,172.213,-1.0179,0.4237
267,8900.00,153.836,175.869,-1.0385,0.4008
268,8933.33,150.723,179.597,-1.0580,0.3775
269,8966.67,147.797,183.391,-1.0763,0.3538
270,9000.00,145.063,187.249,-1.0934,0.3297
271,9033.33,142.523,191.165,-1.1092,0.3052
272,9066.67,140.180,195.135,-1.1239,0.2804
273,9100.00,138.037,199.155,-1.1373,0.2553
274,9133.33,136.097,203.221,-1.1494,0.2299
275,9166.67,134.360,207.327,-1.1602,0.2042
276,9200.00,132.830,211.470,-1.1698,0.1783
277,9233.33,131.508,215.645,-1.1781,0.1522
278,9266.67,130.395,219.846,-1.1850,0.1260
279,9300.00,129.493,224.070,-1.1907,0.0996
280,9333.33,128.802,228.311,-1.1950,0.0731
281,9366.67,128.324,232.566,-1.1980,0.0465
282,9400.00,128.059,236.829,-1.1996,0.0198
283,9433.33,128.007,241.095,-1.2000,-0.0068
284,9466.67,128.168,245.360,-1.1989,-0.0335
285,9500.00,128.543,249.619,-1.1966,-0.0601
286,9533.33,129.130,253.868,-1.1929,-0.0867
287,9566.67,129.929,258.101,-1.1879,-0.1131
288,9600.00,130.940,262.314,-1.1816,-0.1395
289,9633.33,132.160,266.502,-1.1740,-0.1656
290,9666.67,133.590,270.661,-1.1651,-0.1916
291,9700.00,135.226,274.785,-1.1548,-0.2174
292,9733.33,137.068,278.871,-1.1433,-0.2429
293,9766.67,139.112,282.914,-1.1305,-0.2682
294,9800.00,141.358,286.909,-1.1165,-0.2932
295,9833.33,143.802,290.852,-1.1012,-0.3178
296,9866.67,146.442,294.739,-1.0847,-0.3421
297,9900.00,149.275,298.565,-1.0670,-0.3660
298,9933.33,152.298,302.325,-1.0481,-0.3895
299,9966.67,155.507,306.017,-1.0281,-0.4126
